career,field,recommended_major,related_majors,soc_code,bls_occupation,early_career_salary,median_salary,experienced_salary,average_salary,education,description,skills,companies,industries,colleges_notable,nyc_colleges,college_notes,source_year,benchmark_area,salary_area,data_type,salary_mapping_note,salary_source,source_url,job_outlook,career_level_note
Semiconductor Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2072,"Electronics Engineers, Except Computer",93380,119200,151610,134830,Bachelor's degree,"Works with semiconductor devices, microelectronics, integrated circuits, and chip technologies.",Semiconductors;Electronics;Physics;Microelectronics;Circuit Design;Testing,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Salary data is benchmarked to Electronics Engineers, Except Computer.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172072.htm,"Strong demand in electronics, semiconductors, power, communications, controls, and computing hardware.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Hardware Engineer,Computer Engineering,Computer Engineering,Computer Engineering;Electrical Engineering;Electrical and Computer Engineering;Computer Science,17-2061,Computer Hardware Engineers,108670,138080,175400,143580,Bachelor's degree,"Designs, develops, and tests computer and electronic hardware systems.",Circuit Design;Digital Logic;Computer Architecture;Electronics;PCB Design;Testing,NVIDIA;AMD;Intel;Apple;Qualcomm;Microsoft,Semiconductors;Computer Hardware;Embedded Systems;AI Hardware;Consumer Electronics;Robotics,MIT;Carnegie Mellon University;Georgia Tech;UIUC;University of Michigan;Purdue University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Hardware Engineer is benchmarked to the official Computer Hardware Engineers occupation.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172061.htm,"Strong demand where hardware and software meet, especially semiconductors, embedded systems, AI hardware, and robotics.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Mechanical Engineer,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering;Aerospace Engineering;Mechatronics;Manufacturing Engineering;Robotics,17-2141,Mechanical Engineers,79160,99510,126990,114730,Bachelor's degree,"Designs, develops, builds, and tests mechanical devices, machines, and systems.",CAD;Mechanics;Physics;Thermodynamics;Prototyping;Manufacturing,Boeing;SpaceX;GE Aerospace;Tesla;Boston Dynamics;Honeywell,Aerospace;Automotive;Robotics;Manufacturing;Energy;Product Design,MIT;Stanford University;Georgia Tech;University of Michigan;Purdue University;Cornell University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172141.htm,"Broad demand in product design, aerospace, manufacturing, robotics, energy, and transportation.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Automotive Engineer,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering;Aerospace Engineering;Mechatronics;Manufacturing Engineering;Robotics,17-2141,Mechanical Engineers,79160,99510,126990,114730,Bachelor's degree,"Applies mechanical engineering principles to vehicles, propulsion systems, safety, and vehicle technology.",CAD;Mechanics;Thermodynamics;Vehicle Systems;Testing;Manufacturing,Boeing;SpaceX;GE Aerospace;Tesla;Boston Dynamics;Honeywell,Aerospace;Automotive;Robotics;Manufacturing;Energy;Product Design,MIT;Stanford University;Georgia Tech;University of Michigan;Purdue University;Cornell University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Automotive Engineer is benchmarked to Mechanical Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172141.htm,"Broad demand in product design, aerospace, manufacturing, robotics, energy, and transportation.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Manufacturing Engineer,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering;Aerospace Engineering;Mechatronics;Manufacturing Engineering;Robotics,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,"Develops and improves manufacturing systems, production processes, equipment, and quality methods.",Manufacturing;CAD;Process Improvement;Automation;Statistics;Quality Control,Boeing;SpaceX;GE Aerospace;Tesla;Boston Dynamics;Honeywell,Aerospace;Automotive;Robotics;Manufacturing;Energy;Product Design,MIT;Stanford University;Georgia Tech;University of Michigan;Purdue University;Cornell University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Manufacturing Engineer is benchmarked to Industrial Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,"Broad demand in product design, aerospace, manufacturing, robotics, energy, and transportation.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Product Design Engineer,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering;Aerospace Engineering;Mechatronics;Manufacturing Engineering;Robotics,17-2141,Mechanical Engineers,79160,99510,126990,114730,Bachelor's degree,"Designs physical products from early concepts through prototypes, testing, and manufacturing.",CAD;Engineering Design;Prototyping;Materials;Manufacturing;Testing,Boeing;SpaceX;GE Aerospace;Tesla;Boston Dynamics;Honeywell,Aerospace;Automotive;Robotics;Manufacturing;Energy;Product Design,MIT;Stanford University;Georgia Tech;University of Michigan;Purdue University;Cornell University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Product Design Engineer is benchmarked to Mechanical Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172141.htm,"Broad demand in product design, aerospace, manufacturing, robotics, energy, and transportation.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Mechatronics Engineer,Mechanical Engineering,Mechatronics,Mechanical Engineering;Aerospace Engineering;Mechatronics;Manufacturing Engineering;Robotics,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Combines mechanical engineering, electronics, control systems, and programming to create intelligent machines.",CAD;Electronics;Robotics;Control Systems;Python;Microcontrollers,Boeing;SpaceX;GE Aerospace;Tesla;Boston Dynamics;Honeywell,Aerospace;Automotive;Robotics;Manufacturing;Energy;Product Design,MIT;Stanford University;Georgia Tech;University of Michigan;Purdue University;Cornell University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Mechatronics Engineer is benchmarked to Engineers, All Other.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,"Broad demand in product design, aerospace, manufacturing, robotics, energy, and transportation.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Robotics Engineer,Robotics,Robotics Engineering,Robotics Engineering;Mechanical Engineering;Computer Engineering;Electrical Engineering;Mechatronics,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Designs, builds, programs, tests, and improves robotic and automated systems.",Robotics;Python;C++;Electronics;CAD;Control Systems;Sensors,Boston Dynamics;Amazon Robotics;NVIDIA;Tesla;Anduril;ABB,Robotics;Automation;Autonomous Systems;Manufacturing;AI;Defense Technology,Carnegie Mellon University;MIT;Georgia Tech;University of Michigan;WPI,Columbia University;NYU Tandon;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Robotics Engineer is benchmarked to Engineers, All Other because BLS does not publish Robotics Engineer separately.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,"Growing demand in automation, autonomous systems, manufacturing, logistics, and intelligent machines.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Computer Hardware Engineer,Computer Engineering,Computer Engineering,Computer Engineering;Electrical Engineering;Electrical and Computer Engineering;Computer Science,17-2061,Computer Hardware Engineers,108670,138080,175400,143580,Bachelor's degree,"Researches, designs, develops, and tests processors, circuit boards, memory systems, and computer hardware.",Digital Logic;Circuit Design;Computer Architecture;C/C++;Embedded Systems,NVIDIA;AMD;Intel;Apple;Qualcomm;Microsoft,Semiconductors;Computer Hardware;Embedded Systems;AI Hardware;Consumer Electronics;Robotics,MIT;Carnegie Mellon University;Georgia Tech;UIUC;University of Michigan;Purdue University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172061.htm,"Strong demand where hardware and software meet, especially semiconductors, embedded systems, AI hardware, and robotics.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Embedded Systems Engineer,Computer Engineering,Computer Engineering,Computer Engineering;Electrical Engineering;Electrical and Computer Engineering;Computer Science,17-2061,Computer Hardware Engineers,108670,138080,175400,143580,Bachelor's degree,"Develops computing systems built into devices such as sensors, vehicles, medical equipment, and electronics.",C;C++;Microcontrollers;Digital Logic;Circuit Design;Embedded Systems,NVIDIA;AMD;Intel;Apple;Qualcomm;Microsoft,Semiconductors;Computer Hardware;Embedded Systems;AI Hardware;Consumer Electronics;Robotics,MIT;Carnegie Mellon University;Georgia Tech;UIUC;University of Michigan;Purdue University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Embedded Systems Engineer is benchmarked to Computer Hardware Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172061.htm,"Strong demand where hardware and software meet, especially semiconductors, embedded systems, AI hardware, and robotics.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Firmware Engineer,Computer Engineering,Computer Engineering,Computer Engineering;Electrical Engineering;Electrical and Computer Engineering;Computer Science,17-2061,Computer Hardware Engineers,108670,138080,175400,143580,Bachelor's degree,Develops low-level software that directly controls and communicates with hardware.,C;C++;Microcontrollers;Computer Architecture;Debugging;Embedded Systems,NVIDIA;AMD;Intel;Apple;Qualcomm;Microsoft,Semiconductors;Computer Hardware;Embedded Systems;AI Hardware;Consumer Electronics;Robotics,MIT;Carnegie Mellon University;Georgia Tech;UIUC;University of Michigan;Purdue University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Firmware Engineer is benchmarked to Computer Hardware Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172061.htm,"Strong demand where hardware and software meet, especially semiconductors, embedded systems, AI hardware, and robotics.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
FPGA Engineer,Computer Engineering,Computer Engineering,Computer Engineering;Electrical Engineering;Electrical and Computer Engineering;Computer Science,17-2061,Computer Hardware Engineers,108670,138080,175400,143580,Bachelor's degree,"Designs programmable digital hardware used in computing, communications, aerospace, and embedded systems.",Digital Logic;Verilog;VHDL;FPGA Design;Electronics;Computer Architecture,NVIDIA;AMD;Intel;Apple;Qualcomm;Microsoft,Semiconductors;Computer Hardware;Embedded Systems;AI Hardware;Consumer Electronics;Robotics,MIT;Carnegie Mellon University;Georgia Tech;UIUC;University of Michigan;Purdue University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,FPGA Engineer is benchmarked to Computer Hardware Engineers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172061.htm,"Strong demand where hardware and software meet, especially semiconductors, embedded systems, AI hardware, and robotics.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Software Developer,Computer Science,Computer Science,Computer Science;Software Engineering;Cybersecurity;Computer Engineering;Information Systems,15-1252,Software Developers,101200,132270,167540,152100,Bachelor's degree,"Designs, develops, tests, and maintains software applications and computer systems.",Python;Java;Algorithms;Data Structures;Git;Databases,Google;Microsoft;Amazon;Meta;Bloomberg;IBM,Software;Cloud Computing;Cybersecurity;Internet Services;Finance Technology;Enterprise Technology,MIT;Stanford University;Carnegie Mellon University;UC Berkeley;Georgia Tech;Cornell University,Columbia University;NYU;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151252.htm,"Strong demand across software, cloud, cybersecurity, finance, healthcare, media, and nearly every major industry.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Backend Developer,Computer Science,Computer Science,Computer Science;Software Engineering;Cybersecurity;Computer Engineering;Information Systems,15-1252,Software Developers,101200,132270,167540,152100,Bachelor's degree,"Develops server-side applications, APIs, databases, and services that power software products.",Python;Java;APIs;SQL;Databases;Cloud Computing,Google;Microsoft;Amazon;Meta;Bloomberg;IBM,Software;Cloud Computing;Cybersecurity;Internet Services;Finance Technology;Enterprise Technology,MIT;Stanford University;Carnegie Mellon University;UC Berkeley;Georgia Tech;Cornell University,Columbia University;NYU;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Backend Developer is benchmarked to Software Developers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151252.htm,"Strong demand across software, cloud, cybersecurity, finance, healthcare, media, and nearly every major industry.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Frontend Developer,Computer Science,Computer Science,Computer Science;Software Engineering;Cybersecurity;Computer Engineering;Information Systems,15-1254,Web Developers,61690,84960,116370,95220,Bachelor's degree,Builds user-facing websites and interactive web applications.,HTML;CSS;JavaScript;React;Git;Web Accessibility,Google;Microsoft;Amazon;Meta;Bloomberg;IBM,Software;Cloud Computing;Cybersecurity;Internet Services;Finance Technology;Enterprise Technology,MIT;Stanford University;Carnegie Mellon University;UC Berkeley;Georgia Tech;Cornell University,Columbia University;NYU;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Frontend Developer is benchmarked to Web Developers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151254.htm,"Strong demand across software, cloud, cybersecurity, finance, healthcare, media, and nearly every major industry.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Full-Stack Developer,Computer Science,Computer Science,Computer Science;Software Engineering;Cybersecurity;Computer Engineering;Information Systems,15-1252,Software Developers,101200,132270,167540,152100,Bachelor's degree,Develops both user-facing and server-side parts of web applications.,JavaScript;Python;React;APIs;SQL;Git,Google;Microsoft;Amazon;Meta;Bloomberg;IBM,Software;Cloud Computing;Cybersecurity;Internet Services;Finance Technology;Enterprise Technology,MIT;Stanford University;Carnegie Mellon University;UC Berkeley;Georgia Tech;Cornell University,Columbia University;NYU;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Full-Stack Developer is benchmarked to Software Developers.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151252.htm,"Strong demand across software, cloud, cybersecurity, finance, healthcare, media, and nearly every major industry.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
