name,organization,grades,boroughs_served,fields,cost,financial_aid,opportunity_type,bronx_priority,application_status,description,url,location,stipend,application_opens,deadline,program_dates,selectivity,selectivity_label,academic_intensity,application_requirements,recommendation_required,last_verified,difficulty_note
MSK Bridge to Biostats Summer Program,Memorial Sloan Kettering Cancer Center,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Data Science;Mathematics;Biology;Computer Science;Statistics;Biomedical Engineering,Free,Not needed,Internship,Yes,2026 closed; future cycle not yet announced,"A paid in-person program for NYC high school students interested in biostatistics, cancer data science, computing, and quantitative biomedical research.",https://www.mskcc.org/departments/epidemiology-biostatistics/educational-opportunities/bridge-biostats,Memorial Sloan Kettering — New York City,Paid program; future stipend amount should be verified when announced,Typically winter application cycle,2026 cycle closed,Approximately six weeks,4,Highly Competitive,4,"NYC high school student; interest and aptitude in data science, statistics, computing, or biomedical research; cycle-specific application",Varies,2026-08-16,★★★★☆ — Paid NYC research/data-science opportunity with limited placement capacity.
NYU ARISE,NYU Tandon School of Engineering,10;11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Artificial Intelligence;Data Science;Biomedical Engineering;Biology;Robotics;Environmental Science,Free,Not needed — program is fully funded / full scholarship,Research,Yes,2026 completed; prepare for next application cycle,A free 10-week program for rising juniors and seniors who are full-time NYC residents attending NYC schools. Students complete research training and then work in NYU laboratories. The program includes approximately 150 hours of laboratory experience.,https://k12stem.engineering.nyu.edu/programs/arise,NYU Tandon — Brooklyn,"$2,000 upon successful completion",Future cycle not yet announced,"February 27, 2026 at 5 PM",2026: June 1–August 14,4,Highly Competitive,5,Rising junior or senior; full-time NYC resident; must attend an NYC school,Optional in 2026,2026-08-21,★★★★☆ — Substantial free NYC laboratory research experience with selective lab placement.
Cooper Union Summer STEM,The Cooper Union,9;10;11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Electrical Engineering;Mechanical Engineering;Computer Engineering;Computer Science;Robotics,"3-week course $3,150; 6-week course $5,150",Yes — full and partial need-based fee waivers available,Summer Program,Yes,"Summer STEM 2027 applications launch December 11, 2026","A highly selective engineering and computer science program offering three- and six-week college-level courses and projects. Topics have included electronics, programming, engineering design, sustainability, and research-related work.",https://cooper.edu/engineering/stem/summer,The Cooper Union — Manhattan,None / Not paid,"December 11, 2026","March 27, 2026 at 11:59 PM ET",Three- or six-week summer courses,4,Highly Competitive,4,"Students who completed grades 9, 10, or 11; international students may apply, but Cooper does not sponsor visas",Varies,2026-08-21,★★★★☆ — Cooper explicitly describes Summer STEM as highly selective.
Columbia SHAPE,Columbia Engineering,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Electrical Engineering;Mechanical Engineering;Computer Engineering;Computer Science;Artificial Intelligence;Robotics;Biomedical Engineering,"Paid; 2026 commuter program cost exceeded $5,000",Available,Summer Program,Yes,2026 closed; future application cycle expected around late fall,"A three-week project-based engineering pre-college program taught by Columbia Engineering faculty. Courses cover areas including robotics, computer science, electrical engineering, innovation and design, plus workshops and company visits.",https://outreach.engineering.columbia.edu/content/shape-summer-high-school-academic-program-engineers,Columbia University — Manhattan,No standard stipend,"2026 opened November 25, 2025",2026 final deadline was March 2,Two three-week sessions in summer,3,Competitive,4,Application; transcript; recommendation/supporting materials; scholarship materials if requesting aid,Yes,2026-08-16,★★★☆☆ — Strong academic program; selectivity is estimated below elite research programs because it is tuition-based and uses rolling admissions.
Columbia Science Honors Program,Columbia University,10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Mathematics;Physics;Computer Science;Biology;Engineering;Chemistry,$900 for 2026–27,Available,College Course,Yes,2026–27 application closed; future cycle not yet announced,"A long-running Saturday academic-year program offering advanced science and mathematics courses to high school students. Admission includes an application, recommendation, and competitive examination. Need-based tuition waivers may be available.",https://outreach.engineering.columbia.edu/SHP,Columbia University — Manhattan,No stipend,Future cycle not yet announced,2026–27 closed,Academic-year Saturday program,4,Highly Competitive,5,Application; academic record; recommendation; approximately two-hour admissions exam,Yes,2026-08-16,★★★★☆ — Admission includes a dedicated examination and recommendation.
CCNY STEM Research Academy,The City College of New York / College Now,10;11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Engineering;Environmental Science;Mathematics;Research,Free,Not needed,Research,Yes,Spring/Summer 2026 completed; future cycle not yet announced,A two-stage program beginning with a free spring research science course. Selected students who complete the course may apply for a summer research internship with CUNY or CCNY faculty.,https://www.ccny.cuny.edu/collegenow/stem-research-academy,City College of New York — Manhattan,"Summer researchers may be eligible for a stipend; 2026 amount was $1,575","2026 opened November 20, 2025",2026 deadline was January 16,Spring course followed by optional five-week summer research,3,Competitive,4,NYC public high school 10th or 11th grader; academic eligibility; transcript; 300–350 word essay; teacher recommendation,Yes,2026-08-16,★★★☆☆ — Spring cohort was limited to 25 students and summer research to 10 of those students.
CCNY STEM Institute,The City College of New York,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Mathematics;Physics;Research,Free,Not needed,College Course,Yes,Fall 2026 programs listed; check official Apply Now page for current availability,"A free CCNY program providing STEM and test-preparation opportunities to middle and high school students, including College Now and STEM coursework. Offerings vary by semester.",https://stem.ccny.cuny.edu/,City College of New York — Manhattan,No standard stipend,Varies by semester,Varies by semester,"Fall, spring, and summer offerings",2,Moderately Competitive,3,Eligibility varies by course or program; application required,Varies,2026-08-16,★★☆☆☆ — Accessibility varies by course; some College Now or research tracks have additional academic requirements.
Baruch STEP Academy,Baruch College / CUNY,7;8;9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Mathematics;Biology;Computer Science;Data Science;Engineering;Research,Free,Not needed,College Course,Yes,Fall programs announced; join official listserv for application notice,"A New York State-funded pre-college STEM program offering high school enrichment, neuroscience research, math and science coursework, SAT preparation, and college-preparatory programming.",https://step.baruch.cuny.edu/,Baruch College — Manhattan,No standard stipend,Varies by semester,Varies by semester,Academic-year and summer programs,3,Competitive,3,Application; academic record; essays; transcript/report card; teacher evaluation; eligibility documentation,Yes / Teacher evaluation,2026-08-16,★★★☆☆ — Baruch states admission is selective and based primarily on academic record.
Einstein Enrichment Program,Albert Einstein College of Medicine,7;8;9;10;11;12,Bronx,Biology;Biomedical Engineering;Chemistry;Mathematics;Health Science;Research,Free,Not needed,College Course,Yes,Check Einstein pathway program for current recruitment information,A Bronx-focused STEP program providing middle and high school students who live and attend school in the Bronx with STEM and health-science enrichment and early exposure to careers in medicine.,https://einsteinmed.edu/education/pathway-programs/pathway-programs-middle-high-school-students,Albert Einstein College of Medicine — Bronx,Program-dependent,Varies,Varies,Academic-year and summer enrichment,3,Competitive,3,Must meet program eligibility; Bronx residency and school attendance apply to EEP,Varies,2026-08-16,★★★☆☆ — Selective enrichment pathway targeted specifically to Bronx students.
Einstein–Montefiore Summer High School Research Program,Albert Einstein College of Medicine / Montefiore,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Biomedical Engineering;Health Science;Research,Check official program,Unknown,Research,Yes,Future application details should be checked on official Einstein page,A five-week full-time summer research experience for high school students age 16 and older interested in science and medicine. Students join Einstein research laboratories and present at an annual research day.,https://einsteinmed.edu/education/pathway-programs/pathway-programs-middle-high-school-students,Albert Einstein College of Medicine — Bronx,Check current cycle,Varies,Varies,Five-week summer research experience,4,Highly Competitive,5,Age 16+; program-specific application requirements,Varies,2026-08-16,★★★★☆ — Full-time mentored biomedical laboratory research; rating is an estimate because current acceptance data is not published.
NASA GeneLab for High Schools,NASA Ames Research Center,10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Data Science;Computer Science;Bioinformatics;Biomedical Engineering,Free,Not needed,Summer Program,No,2026 closed; watch for 2027 application,"A free virtual program in NASA space biology, omics, bioinformatics, and computational biology. The 2026 version provided 12 weeks of asynchronous training and an optional capstone pathway.",https://www.nasa.gov/ames/genelab-for-high-schools/,Virtual / NASA Ames Research Center,No stipend for 2026,2026 opened February 15,"2026 closed March 15 or when 1,000 applications were reached",2026: June 1–August 28,2,Moderately Competitive,4,U.S. citizen or permanent resident; rising junior/senior or incoming college freshman; biology course; 3.0 unweighted GPA; transcript; internet access,No,2026-08-16,★★☆☆☆ — NASA reported eligible applicants were generally accepted on a rolling basis until capacity was reached.
New York Academy of Sciences Junior Academy,New York Academy of Sciences,8;9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Engineering;Computer Science;Artificial Intelligence;Data Science;Biology;Environmental Science;Robotics,Free,Not needed,Research,Yes,Fall 2026 closed; Spring 2027 recruitment typically occurs November–January,A virtual international STEM program for students ages 13–17. Teams work with STEM mentors on 8–10 week Innovation Challenges to research and design solutions to real-world problems.,https://www.nyas.org/learning/high-school-research-programs/the-junior-academy/,Virtual / International,Challenge-dependent awards may exist,Spring recruitment typically November–January,Spring deadline not yet posted,Fall and spring 8–10 week challenges,3,Competitive,3,Age 13–17; application; essays; parental consent; ability to collaborate virtually in English,No,2026-08-16,★★★☆☆ — Application-based global program; admission is selective but participation capacity is much larger than elite laboratory programs.
Boston University RISE,Boston University,11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Biology;Biomedical Engineering;Computer Science;Data Science;Electrical Engineering;Mechanical Engineering;Physics;Chemistry;Neuroscience,Paid,Available,Research,No,2026 closed; future cycle not yet announced,A six-week research program for students entering senior year. Internship students spend approximately 40 hours per week conducting university laboratory research; Practicum students complete structured computational research.,https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,"Boston University — Boston, Massachusetts",No standard stipend; scholarship aid available,Future cycle not yet announced,2026 deadline was February 4,Six-week summer program,4,Highly Competitive,5,Current junior entering senior year; U.S. citizen or permanent resident; transcript; essays; recommendation; strong academic record,Yes,2026-08-16,★★★★☆ — Boston University explicitly describes RISE as highly competitive and selective.
PROMYS,Boston University,9;10;11;12,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Mathematics,"Up to $8,000 before aid",Available,Summer Program,No,2026 closed; PROMYS says 2027 application launches in January,"A six-week residential mathematics program for highly motivated students focused on deep mathematical exploration, proof, number theory, creative problem solving, and mathematical community.",https://promys.org/programs/promys/for-students/application/,"Boston University — Boston, Massachusetts","Need-based support; domestic students from families under $80,000 were free in 2026",Expected January 2027,2027 deadline not yet announced,Six-week summer program,5,Extremely Competitive,5,Age 14–18; completed grade 9; challenging application problem set; transcript; short answers; mathematics recommendation,Yes,2026-08-16,★★★★★ — Selection centers on a difficult mathematical problem set and demonstrated depth of mathematical thinking.
Stanford University Mathematics Camp (SUMaC),Stanford Pre-Collegiate Studies,10;11,Bronx;Manhattan;Brooklyn;Queens;Staten Island,Mathematics,Paid,Available,Summer Program,No,2026 closed; future cycle not yet announced,An intensive advanced mathematics program for rising juniors and seniors. Students study topics beyond the standard high school curriculum and engage in proof-based mathematical work.,https://sumac.spcs.stanford.edu/,Stanford University / Online options vary by year,No standard stipend,Future cycle not yet announced,2026 deadline was February 2,Summer residential/online sessions,5,Extremely Competitive,5,Advanced mathematical preparation; application and admissions assessment/materials as required by Stanford,Varies,2026-08-16,★★★★★ — Advanced proof-based mathematics program for a small cohort of highly prepared students.
